"주택유형별(1)","지역별(1)",지역별(2),지역별(3),지역별(4),2025.11,2025.12,2026.01,2026.02,2026.03,2026.04
"연립다세대","경기",동부2권,소계,소계,68.96814911,69.0846759,69.29077518,69.31103868,69.32752619,69.38020452
"아파트","부산",중부산권,남,소계,68.95368063,69.03474402,69.1308573,69.34120136,69.56022123,69.66453182
"아파트","경기",경원권,소계,소계,68.92907455,69.00592419,69.24183055,69.41173791,69.53182298,69.81932674
"연립다세대","광주",소계,소계,소계,68.91346722,68.94615166,68.98754042,69.01289967,69.02408358,69.02746849
"연립다세대","9개도",소계,소계,소계,68.86813551,68.9167817,68.95917077,68.95251696,68.98415854,69.03193511
"연립다세대","수도권",소계,소계,소계,68.86542387,68.73693889,68.62013109,68.5046298,68.46193831,68.46563409
"연립다세대","충북",소계,소계,소계,68.68574245,68.67411769,68.78455444,68.84760572,68.86432862,68.90705287
"아파트","경기",동부1권,소계,소계,68.67174695,68.79720923,68.78598542,68.68727558,68.86327372,69.01902344
"아파트","경북",문경,소계,소계,68.58693117,68.21902246,67.8370171,67.55714865,67.55982932,67.41051467
"연립다세대","서울",강남권역,서남권,소계,68.38215438,67.9742192,67.62129259,67.40050191,67.24969664,67.15140885
"연립다세대","경남",소계,소계,소계,68.36329495,68.39907747,68.3940496,68.41862025,68.46607895,68.46992751
"연립다세대","세종",소계,소계,소계,68.34521335,68.48763059,68.54904783,68.66141001,68.77456014,68.93674291
"연립다세대","전국",소계,소계,소계,68.32677183,68.24227011,68.17085604,68.09037508,68.0709401,68.08501246
"아파트","전국",소계,소계,소계,68.24155888,68.30359434,68.36762765,68.47000649,68.62502827,68.779687
"종합","인천",소계,소계,소계,68.23217784,68.32420526,68.40419011,68.52759942,68.68310356,68.87329496
"종합","충북",소계,소계,소계,68.19524426,68.25352529,68.33900245,68.47886082,68.5024145,68.56322388
"연립다세대","8개도",소계,소계,소계,68.16415394,68.18595368,68.21820659,68.21797966,68.24636353,68.2550295
"종합","경남",소계,소계,소계,68.13758209,68.24135613,68.37517453,68.68911143,68.70001136,68.75765301
